ID;Identificador;Descrição;Grupo nível 01;Grupo nível 02;Grupo nível 03;Grupo nível 04;Grupo nível 05;Janeiro/2017;Fevereiro/2017;Março/2017;Abril/2017;Maio/2017;Junho/2017;Julho/2017;Agosto/2017;Setembro/2017;Outubro/2017;Novembro/2017;Dezembro/2017;Janeiro/2018;Fevereiro/2018;Março/2018;Abril/2018;Maio/2018;Junho/2018;Julho/2018;Agosto/2018;Setembro/2018;Outubro/2018;Novembro/2018;Dezembro/2018;Janeiro/2019;Fevereiro/2019;Março/2019;Abril/2019;Maio/2019;Junho/2019;Julho/2019;Agosto/2019;Setembro/2019;Outubro/2019;Novembro/2019;Dezembro/2019;Total
68;44;VERIFICAÇÃO INICIAL DS44;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1008.00;2016.00;1008.00;1245.00;0;992;0;0;6269.00
76;49;VERIFICAÇÃO INICIAL REPROVADO;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1534.00;0;866;0;0;1296.00;13;0;10;0;0;3719.00
5996;AD3018;APARELHO DIGITAL  3018 PULSO;BIC;PRODUTO ACABADO;;;;6;31;22;62;33;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157
5997;AD3132;APARELHO DIGITAL 3132  BRACO;BIC;PRODUTO ACABADO;;;;1;382;10;7;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;403
6078;ANPA0101Q;ANGULO PA COM MOLA E OLIVAS PVC;PAMED;PRODUTO ACABADO;ACESSORIO;;;32;10;26;46;30;34;17;30;20;15;56;236;26;28;0;0;15;36;1;30;23;3;4;0;165;35;0;59;30;57;15;10;50;40;25;2;1206.00
6080;AP0101;AP BIC AD BRIM F METAL CINZA LATEX;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE LATEX;;;0;5;7;0;0;6;6;0;2;0;7;0;0;0;0;0;0;0;8;10;14;0;17;0;11;0;0;50;0;0;50;0;30;0;0;0;223
6081;AP0102;AP BIC AD BRIM F CONT CINZA LATEX;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE LATEX;;;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;5;0;0;0;0;35;0;0;60;0;40;0;0;0;150
6082;AP0103;AP BIC AD BRIM F METAL CINZA PVC;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE PVC;;;117;97;262;205;114;173;148;204;97;75;52;202;106;184;497;104;241;65;209;249;72;78;75;74;73;248;43;50;126;45;19;26;0;0;0;0;4330.00
6083;AP0104;AP BIC AD BRIM F CONT CINZA PVC;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE PVC;;;41;49;169;37;113;124;62;144;54;36;86;104;80;99;57;53;46;73;68;193;31;132;29;47;31;42;16;45;71;25;13;18;20;0;0;0;2208.00
17398;AP0111;AP BIC AD BRIM F METAL CINZA  LATEX;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE LATEX;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
17399;AP0112;AP BIC AD BRIM F CONT CINZA  LATEX;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE LATEX;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2
17396;AP0113;AP BIC AD BRIM F METAL CINZA  PVC;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;112;35;41;52;67;40;367
17397;AP0114;AP BIC AD BRIM F CONT CINZA  PVC;BIC;PRODUTO ACABADO;LINHA TRADIZIONALE PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;22;8;26;17;9;8;96
6086;AP0201;AP BIC AD NY F METAL AZUL LATEX;BIC;PRODUTO ACABADO;LINHA INNOVA LATEX;;;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
6087;AP0202;AP BIC AD NY F METAL CINZA LATEX;BIC;PRODUTO ACABADO;LINHA INNOVA LATEX;;;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
6088;AP0203;AP BIC AD NY F METAL ROSA LATEX;BIC;PRODUTO ACABADO;LINHA INNOVA LATEX;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
6090;AP0205;AP BIC AD NY F METAL VERDE LATEX;BIC;PRODUTO ACABADO;LINHA INNOVA LATEX;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
6093;AP0208;AP BIC AD NY F METAL PRETO LATEX;BIC;PRODUTO ACABADO;LINHA INNOVA LATEX;;;0;0;0;0;0;30;0;3;6;0;15;25;6;0;51;0;2;0;49;4;9;0;60;30;5;50;0;0;2;30;0;4;0;0;0;0;381
6094;AP0209;AP BIC AD NY F METAL AZUL PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;7;28;34;9;40;24;27;33;33;6;9;6;6;6;15;26;11;10;24;11;19;15;8;24;15;7;14;20;5;6;1;1;0;0;0;0;500
6095;AP0210;AP BIC AD NY F METAL CINZA PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;7;20;21;11;22;14;11;20;2;7;6;8;8;11;10;14;9;3;2;27;5;4;21;29;3;3;87;14;16;4;1;0;0;0;0;0;420
6096;AP0211;AP BIC AD NY F METAL ROSA PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;8;10;6;8;3;5;7;12;8;4;10;4;8;0;16;5;1;10;15;3;4;0;1;4;3;4;4;2;0;1;0;0;0;0;0;166
6097;AP0212;AP BIC AD NY F METAL ROYAL PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;4;2;3;0;0;0;9;0;1;5;1;0;1;5;2;0;0;102;4;100;1;0;80;0;3;0;60;60;0;80;60;0;0;0;0;583
6098;AP0213;AP BIC AD NY F METAL VERDE PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;3;6;2;4;1;10;4;4;1;1;0;0;2;5;1;0;4;3;1;0;1;0;3;0;3;3;0;0;0;0;0;0;0;0;0;62
6099;AP0214;AP BIC AD NY F METAL VERMELHO PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;2;2;0;2;1;1;0;3;0;3;0;0;2;5;0;1;4;8;4;1;0;0;6;0;4;0;0;0;0;0;0;0;0;0;0;49
6100;AP0215;AP BIC AD NY F METAL VINHO PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;15;6;9;16;17;29;12;31;11;4;14;11;23;5;17;4;5;8;15;9;20;4;6;2;12;17;6;4;8;3;0;0;0;0;0;343
6101;AP0216;AP BIC AD NY F METAL PRETO PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;92;191;126;206;153;151;156;159;167;134;166;129;125;156;208;151;111;76;125;196;76;57;110;47;72;121;124;137;150;39;48;53;0;0;0;0;4012.00
17420;AP0229;AP BIC AD NY F METAL AZUL  PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;17;7;0;8;5;7;47
17421;AP0230;AP BIC AD NY F METAL CINZA  PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;5;4;7;0;7;30
17422;AP0231;AP BIC AD NY F METAL ROSA  PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;0;0;0;0;14
17423;AP0232;AP BIC AD NY F METAL ROYAL  PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;1;0;70;90;0;174
17424;AP0233;AP BIC AD NY F METAL VERDE  PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;0;3;0;0;21
17426;AP0234;AP BIC AD NY F METAL VERMELHO  PVC;BIC;PRODUTO ACABADO;LINHA INNOVA PVC;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;6
